Customer ID,Age,Gender,Education,Marital Status,Employment Type,Annual Income,Work Experience,Loan ID,Loan Amount,Loan Type,Interest Rate,Loan Term,Loan Status,Default Status,Credit Score
"CUST000001","39","Female","High School","Divorced","Full-Time",,"11","LOAN082928","38743","Personal","12.26","3","Rejected","No","748"
"CUST000002","64",,"High School",,"Full-Time","155132",,"LOAN070135","65980","Vehicle","6.82","6","Approved","No","747"
"CUST000003","56","Female","Master's Degree",,"Full-Time","66044","25","LOAN435467","305433","Home","5.73","30","Approved","No","592"
"CUST000004","54","Other","Master's Degree","Divorced","Part-Time","244306","36","LOAN016269","65891","Education","8.74","5","Rejected","No",
"CUST000005",,,"PhD","Widowed","Contract","181770","20","LOAN916797","68187","Vehicle","6.90","3","Rejected","No","449"
"CUST000006","26","Female","Diploma","Single","Unemployed","28457","4","LOAN360324","65119","Vehicle","9.52","4","Approved","No","582"
"CUST000007","42","Other","Associate Degree","Divorced","Unemployed","126038","14","LOAN860859","87024","Education","5.05","5","Approved","Yes","452"
"CUST000008","55","Other","Master's Degree","Single","Self-Employed","228321","6","LOAN302470","318101","Home","3.99","25","Approved","No","474"
"CUST000009","48","Male","Bachelor's Degree","Single","Self-Employed","119288","40","LOAN845767","31921","Personal","13.94","5","Rejected","No","699"
"CUST000010","36","Other","Master's Degree","Widowed","Self-Employed",,"39","LOAN546411","17108","Vehicle","8.70","4","Approved","No","447"
"CUST000011","40","Other","Associate Degree","Widowed","Contract","106363","14","LOAN372898","48023","Vehicle","4.06","6","Approved","No","429"
"CUST000012","47","Other","Bachelor's Degree","Widowed","Full-Time",,"13","LOAN278889","62785","Education","5.69","15","Rejected","No","601"
"CUST000013","50","Other","Bachelor's Degree","Divorced","Unemployed","156358","8","LOAN716690","452507","Home","6.47","20","Approved","Yes","447"
"CUST000014","54","Female","Diploma","Married","Contract","69418","38","LOAN326075","15156","Personal","14.76","1","Rejected","No","504"
"CUST000015","26","Female","Master's Degree","Married","Full-Time","44572","24","LOAN488842","10502","Education","6.30","15","Approved","No","667"
"CUST000016",,"Other",,"Widowed","Self-Employed","117763","31","LOAN119773","84920","Education","5.72","5","Rejected","No","504"
"CUST000017","41","Other","Bachelor's Degree","Widowed","Self-Employed","23350","25","LOAN379296","53444","Education","7.71","10","Approved","No","537"
"CUST000018","47","Female","PhD","Married","Contract","216814","18","LOAN256015","774743","Home","4.84","25","Rejected","No","680"
"CUST000019","21",,"High School","Widowed","Self-Employed","146568","28","LOAN434492","66509","Vehicle","8.89","5","Approved","Yes","769"
